topic_id,rank,term,weight
13,4,tanah,0.006088821307424368
13,5,gunung,0.005476532701187432
13,6,hutan,0.005431162677758605
13,7,jalan,0.005048857880809962
13,8,jembatan,0.00436637520877897
13,9,meter,0.004296940675925976
13,10,pasar,0.003930479186909891
13,11,tanaman,0.0037759629561493558
13,12,daerah,0.003693893427862617
13,13,pegunungan,0.003648005677622143
13,14,saham,0.003574775750721304
13,15,jalur,0.0035008579783659256
14,1,universitas,0.00839533714934002
14,2,partai,0.006496005059270684
14,3,indonesia,0.0058784647373448335
14,4,pendidikan,0.005571286132087558
14,5,presiden,0.005133600428313674
14,6,ketua,0.005107425822885641
14,7,program,0.004957945820092476
14,8,menteri,0.004770087336576944
14,9,bidang,0.004300638118928817
14,10,anggota,0.004208780497344823
14,11,menjabat,0.004109727156005061
14,12,nasional,0.004025174352733954
14,13,dewan,0.003867159115851066
14,14,fakultas,0.003638220702394072
14,15,pemilihan,0.0035897877657344447
15,1,gereja,0.017460173702091297
15,2,katolik,0.00847635375929075
15,3,tumbuhan,0.007014339055501223
15,4,paus,0.006857520191242736
15,5,dewasa,0.0064174039572550655
15,6,kristen,0.006392125335530124
15,7,roma,0.006232013782958592
15,8,berumur,0.0062024674929482115
15,9,kebanyakan,0.0060929376688324734
15,10,lahir,0.005944844605148869
15,11,hidup,0.005901585285637237
15,12,orang,0.005846514593981344
15,13,pendek,0.005797668859082851
15,14,pertamanya,0.00571405851862813
15,15,makanan,0.005654299666003695
16,1,bahan,0.005848359838619251
16,2,asam,0.005656216694060111
16,3,senyawa,0.004397670250810055
16,4,bumi,0.0040996603029047115
16,5,reaksi,0.003770569527449814
16,6,gempa,0.0037296676041626477
16,7,air,0.0035631053721233118
16,8,ruang,0.003268299696627657
16,9,bangunan,0.003175549486702526
16,10,kimia,0.003085311594467611
16,11,makanan,0.00283755471852828
16,12,zat,0.0027668115891599497
16,13,gas,0.0027651012938091565
16,14,jalan,0.002527866760097053
16,15,masakan,0.0025218732171788673
17,1,raja,0.014208337356566179
17,2,kerajaan,0.009842772832810955
17,3,kaisar,0.007451410764054813
17,4,pangeran,0.006710096767445935
17,5,sultan,0.00660112183026639
17,6,putra,0.0055010279883030795
17,7,putri,0.004739685708281756
17,8,dinasti,0.004607527341054635
17,9,ratu,0.0036729193413628557
17,10,kesultanan,0.0036051412457415145
17,11,adipati,0.003461796220879467
17,12,sel,0.0034583522758342123
17,13,orang,0.0033753010599344552
17,14,anak,0.0033061126220198253
17,15,istana,0.0032210287640148075
18,1,warna,0.0056728379131832695
18,2,berwarna,0.0049277299252614044
18,3,putih,0.004351802587392608
18,4,penyakit,0.004134111279109717
18,5,hitam,0.003975001518816271
18,6,orang,0.0037479039898897968
18,7,tubuh,0.0036625707094667913
18,8,merah,0.0035861031254764203
18,9,kulit,0.00352529617451953
18,10,manusia,0.003089915844353652
18,11,sel,0.0029894010396825715
18,12,mata,0.002967155086983198
18,13,korea,0.002892882053142762
18,14,memiliki,0.0028612350056727806
18,15,naskah,0.0026196539968941245
19,1,jerman,0.011030497506355725
19,2,rusia,0.005945273231147161
19,3,soviet,0.005529323364311289
19,4,austria,0.00543268431075903
19,5,perang,0.005125824403819863
19,6,lagu,0.004949219882288598
19,7,bermain,0.004340090707608947
19,8,pemain,0.004165660115712378
19,9,dunia,0.004146210311407732
19,10,hongaria,0.004134373214218918
19,11,benteng,0.004038692721072864
19,12,inggris,0.0035566733173672204
19,13,uni,0.003497538971086285
19,14,perancis,0.0034310219712017954
19,15,burung,0.003426398353699203
